country,is_blend,is_dry,is_red,is_rose,is_sparkling,is_sweet,is_white,price,province,region_1,taster_name,variety,year,rating
Chile,0,0,1,0,0,0,0,11.0,Maule Valley,Napa Valley,Michael Schachner,Malbec,2011.0,1
France,1,1,1,0,0,0,0,12.0,Bordeaux,Bordeaux Supérieur,Roger Voss,Bordeaux-style Red Blend,2012.0,2
Portugal,0,0,1,0,0,0,0,25.0,Lisboa,Napa Valley,Roger Voss,Portuguese Red,2007.0,3
Spain,1,0,0,0,0,0,0,40.0,Northern Spain,Rioja,Michael Schachner,Tempranillo Blend,2009.0,3
US,0,0,0,0,0,0,0,135.0,California,Napa Valley,Roger Voss,Cabernet Sauvignon,2010.0,3
Austria,0,0,0,0,0,0,1,38.0,Wachau,Napa Valley,Anne Krebiehl MW,Grüner Veltliner,2016.0,3
US,0,0,0,0,0,1,0,25.0,California,Napa Valley,Roger Voss,Cabernet Sauvignon,2011.0,1
France,1,0,1,0,0,0,0,35.0,Bordeaux,Saint-Émilion,Roger Voss,Bordeaux-style Red Blend,2012.0,2
Germany,0,0,1,0,0,0,0,42.0,Franken,Napa Valley,Anna Lee C. Iijima,Spätburgunder,2009.0,3
Portugal,0,0,1,0,0,0,0,47.0,Alentejo,Napa Valley,Roger Voss,Portuguese Red,2013.0,3
France,0,0,1,0,0,0,0,12.0,Provence,Coteaux Varois,Roger Voss,Rosé,2010.0,2
US,1,0,1,0,0,0,0,29.0,Washington,Columbia Valley (WA),Paul Gregutt,Red Blend,2011.0,1
Portugal,0,1,0,0,0,0,0,23.0,Port,Napa Valley,Roger Voss,Port,2009.0,2
US,1,0,0,0,0,0,0,50.0,Washington,Columbia Valley (WA),Paul Gregutt,Red Blend,2009.0,2
US,0,0,0,0,0,0,0,26.0,Oregon,Rogue Valley,Paul Gregutt,Syrah,2012.0,1
Spain,0,0,1,0,0,0,0,40.0,Northern Spain,Ribera del Duero,Michael Schachner,Tempranillo,2009.0,3
Italy,1,1,1,0,0,0,0,22.0,Tuscany,Chianti Classico,Kerin O’Keefe,Red Blend,2012.0,2
Chile,0,0,0,0,0,0,0,20.0,Limarí Valley,Napa Valley,Michael Schachner,Chardonnay,2013.0,1
Italy,0,0,1,0,0,0,0,83.0,Piedmont,Barolo,Roger Voss,Nebbiolo,2007.0,3
Portugal,0,0,1,0,0,0,0,8.0,Alentejano,Napa Valley,Roger Voss,Portuguese Red,2012.0,1
US,1,0,0,0,0,0,0,25.0,California,California,Jim Gordon,Red Blend,2014.0,1
US,0,0,1,0,0,1,0,50.0,California,Central Coast,Roger Voss,Cabernet Sauvignon,2010.0,1
